id,label,geo_level,has_bonus_info
3712000,"Charlotte, NC*",City,1
3714100,"Concord, NC",City,0
3719000,"Durham, NC*",City,1
3722920,"Fayetteville, NC*",City,1
3728000,"Greensboro, NC*",City,1
3728080,"Greenville, NC",City,0
3731400,"High Point, NC",City,0
3755000,"Raleigh, NC*",City,1
3774440,"Wilmington, NC",City,0
3775000,"Winston-Salem, NC*",City,1
3825700,"Fargo, ND",City,0
3901000,"Akron, OH*",City,1
3915000,"Cincinnati, OH*",City,1
3916000,"Cleveland, OH*",City,1
3918000,"Columbus, OH*",City,1
3921000,"Dayton, OH",City,0
3961000,"Parma, OH",City,0
3977000,"Toledo, OH*",City,1
4009050,"Broken Arrow, OK",City,0
4023200,"Edmond, OK",City,0
4041850,"Lawton, OK",City,0
4052500,"Norman, OK",City,0
4055000,"Oklahoma City, OK*",City,1
4075000,"Tulsa, OK*",City,1
4105350,"Beaverton, OR",City,0
4105800,"Bend, OR",City,0
4123850,"Eugene, OR",City,0
4131250,"Gresham, OR",City,0
4134100,"Hillsboro, OR",City,0
4159000,"Portland, OR*",City,1
4164900,"Salem, OR",City,0
4202000,"Allentown, PA",City,0
4224000,"Erie, PA",City,0
4260000,"Philadelphia, PA*",City,1
4261000,"Pittsburgh, PA*",City,1
4263624,"Reading, PA",City,0
4269000,"Scranton, PA",City,0
4419180,"Cranston, RI",City,0
4459000,"Providence, RI",City,0
4474300,"Warwick, RI",City,0
4513330,"Charleston, SC",City,0
4516000,"Columbia, SC",City,0
4550875,"North Charleston, SC",City,0
4659020,"Sioux Falls, SD",City,0
4714000,"Chattanooga, TN*",City,1
4715160,"Clarksville, TN",City,0
4740000,"Knoxville, TN",City,0
4748000,"Memphis, TN*",City,1
4751560,"Murfreesboro, TN",City,0
4752006,"Nashville-Davidson, TN*",City,1
4801000,"Abilene, TX",City,0
4801924,"Allen, TX",City,0
4803000,"Amarillo, TX*",City,1
4804000,"Arlington, TX*",City,1
4805000,"Austin, TX*",City,1
4807000,"Beaumont, TX",City,0
4810768,"Brownsville, TX",City,0
4810912,"Bryan, TX",City,0
4813024,"Carrollton, TX",City,0
4815976,"College Station, TX",City,0
4817000,"Corpus Christi, TX*",City,1
4819000,"Dallas, TX*",City,1
4819972,"Denton, TX",City,0
4822660,"Edinburg, TX",City,0
4824000,"El Paso, TX*",City,1
4827000,"Fort Worth, TX*",City,1
4827684,"Frisco, TX",City,0
4829000,"Garland, TX*",City,1
4830464,"Grand Prairie, TX",City,0
4835000,"Houston, TX*",City,1
4837000,"Irving, TX*",City,1
4839148,"Killeen, TX",City,0
4841464,"Laredo, TX*",City,1
4841980,"League City, TX",City,0
4842508,"Lewisville, TX",City,0
4843888,"Longview, TX",City,0
4845000,"Lubbock, TX*",City,1
4845384,"McAllen, TX",City,0
4845744,"McKinney, TX",City,0
4847892,"Mesquite, TX",City,0
4848072,"Midland, TX",City,0
4848768,"Mission, TX",City,0
4853388,"Odessa, TX",City,0
4856000,"Pasadena, TX",City,0
4856348,"Pearland, TX",City,0
4858016,"Plano, TX*",City,1
4861796,"Richardson, TX",City,0
4863500,"Round Rock, TX",City,0
4864472,"San Angelo, TX",City,0
4865000,"San Antonio, TX*",City,1
4870808,"Sugar Land, TX",City,0
4872656,"The Woodlands, TX",City,0
4874144,"Tyler, TX",City,0
4876000,"Waco, TX",City,0
4879000,"Wichita Falls, TX",City,0
4955980,"Ogden, UT",City,0
4957300,"Orem, UT",City,0
4962470,"Provo, UT",City,0
4967000,"Salt Lake City, UT",City,0
4967440,"Sandy, UT",City,0
4982950,"West Jordan, UT",City,0
4983470,"West Valley City, UT",City,0
5101000,"Alexandria, VA",City,0
5103000,"Arlington, VA*",City,1
5116000,"Chesapeake, VA*",City,1
5135000,"Hampton, VA",City,0
5147672,"Lynchburg, VA",City,0
5156000,"Newport News, VA",City,0
5157000,"Norfolk, VA",City,0
5164000,"Portsmouth, VA",City,0
5167000,"Richmond, VA",City,0
5168000,"Roanoke, VA",City,0
5176432,"Suffolk, VA",City,0
5182000,"Virginia Beach, VA*",City,1
5305210,"Bellevue, WA",City,0
5305280,"Bellingham, WA",City,0
5322640,"Everett, WA",City,0
5323515,"Federal Way, WA",City,0
5335415,"Kent, WA",City,0
5357745,"Renton, WA",City,0
5363000,"Seattle, WA*",City,1
5367000,"Spokane, WA*",City,1
5367167,"Spokane Valley, WA",City,0
5370000,"Tacoma, WA",City,0
5374060,"Vancouver, WA",City,0
5380010,"Yakima, WA",City,0
5531000,"Green Bay, WI",City,0
5539225,"Kenosha, WI",City,0
5548000,"Madison, WI",City,0
5553000,"Milwaukee, WI*",City,1
5566000,"Racine, WI",City,0
35543,35543,Zipcode,0
35564,35564,Zipcode,0
35571,35571,Zipcode,0
35581,35581,Zipcode,0
35582,35582,Zipcode,0
35585,35585,Zipcode,0
35593,35593,Zipcode,0
35610,35610,Zipcode,0
35616,35616,Zipcode,0
35617,35617,Zipcode,0
35630,35630,Zipcode,0
35631,35631,Zipcode,0
35632,35632,Zipcode,0
35633,35633,Zipcode,0
35634,35634,Zipcode,0
35645,35645,Zipcode,0
35646,35646,Zipcode,0
35648,35648,Zipcode,0
35652,35652,Zipcode,0
35653,35653,Zipcode,0
35654,35654,Zipcode,0
35660,35660,Zipcode,0
35661,35661,Zipcode,0
35662,35662,Zipcode,0
35674,35674,Zipcode,0
35677,35677,Zipcode,0
35611,35611,Zipcode,0
35612,35612,Zipcode,0
35613,35613,Zipcode,0
35614,35614,Zipcode,0
35615,35615,Zipcode,0
35620,35620,Zipcode,0
35647,35647,Zipcode,0
35649,35649,Zipcode,0
35671,35671,Zipcode,0
35739,35739,Zipcode,0
35741,35741,Zipcode,0
35742,35742,Zipcode,0
35749,35749,Zipcode,0
35750,35750,Zipcode,0
35756,35756,Zipcode,0
35759,35759,Zipcode,0
35761,35761,Zipcode,0
35767,35767,Zipcode,0
35773,35773,Zipcode,0
35808,35808,Zipcode,0
35809,35809,Zipcode,0
35811,35811,Zipcode,0
35812,35812,Zipcode,0
35813,35813,Zipcode,0
35824,35824,Zipcode,0
35894,35894,Zipcode,0
35897,35897,Zipcode,0
35898,35898,Zipcode,0
35757,35757,Zipcode,0
35758,35758,Zipcode,0
35762,35762,Zipcode,0
35806,35806,Zipcode,0
35810,35810,Zipcode,0
35814,35814,Zipcode,0
35816,35816,Zipcode,0
35896,35896,Zipcode,0
35899,35899,Zipcode,0
35801,35801,Zipcode,0
35802,35802,Zipcode,0
35803,35803,Zipcode,0
35804,35804,Zipcode,0
35805,35805,Zipcode,0
35807,35807,Zipcode,0
35815,35815,Zipcode,0
35893,35893,Zipcode,0
35895,35895,Zipcode,0
35740,35740,Zipcode,0
35744,35744,Zipcode,0
35745,35745,Zipcode,0
35746,35746,Zipcode,0
35751,35751,Zipcode,0
35752,35752,Zipcode,0
35764,35764,Zipcode,0
35765,35765,Zipcode,0
35766,35766,Zipcode,0
35768,35768,Zipcode,0
35769,35769,Zipcode,0
35771,35771,Zipcode,0
35772,35772,Zipcode,0
35774,35774,Zipcode,0
35776,35776,Zipcode,0
35958,35958,Zipcode,0
35961,35961,Zipcode,0
35962,35962,Zipcode,0
35963,35963,Zipcode,0
35966,35966,Zipcode,0
35967,35967,Zipcode,0
35968,35968,Zipcode,0
35971,35971,Zipcode,0
35974,35974,Zipcode,0
35975,35975,Zipcode,0
35978,35978,Zipcode,0
35979,35979,Zipcode,0
35981,35981,Zipcode,0
35984,35984,Zipcode,0
35986,35986,Zipcode,0
35988,35988,Zipcode,0
35989,35989,Zipcode,0
35016,35016,Zipcode,0
35175,35175,Zipcode,0
35747,35747,Zipcode,0
35748,35748,Zipcode,0
35755,35755,Zipcode,0
35760,35760,Zipcode,0
35763,35763,Zipcode,0
35950,35950,Zipcode,0
35951,35951,Zipcode,0
35957,35957,Zipcode,0
35964,35964,Zipcode,0
35976,35976,Zipcode,0
35980,35980,Zipcode,0
35601,35601,Zipcode,0
35602,35602,Zipcode,0
35603,35603,Zipcode,0
35609,35609,Zipcode,0
35618,35618,Zipcode,0
35619,35619,Zipcode,0
35621,35621,Zipcode,0
35622,35622,Zipcode,0
35640,35640,Zipcode,0
35643,35643,Zipcode,0
35650,35650,Zipcode,0
35651,35651,Zipcode,0
35670,35670,Zipcode,0
35672,35672,Zipcode,0
35673,35673,Zipcode,0
35699,35699,Zipcode,0
35754,35754,Zipcode,0
35775,35775,Zipcode,0
35019,35019,Zipcode,0
35033,35033,Zipcode,0
35053,35053,Zipcode,0
35055,35055,Zipcode,0
35056,35056,Zipcode,0
35057,35057,Zipcode,0
35058,35058,Zipcode,0
35070,35070,Zipcode,0
35077,35077,Zipcode,0
35083,35083,Zipcode,0
35087,35087,Zipcode,0
35098,35098,Zipcode,0
35179,35179,Zipcode,0
35540,35540,Zipcode,0
35541,35541,Zipcode,0
35551,35551,Zipcode,0
35553,35553,Zipcode,0
35565,35565,Zipcode,0
35572,35572,Zipcode,0
35575,35575,Zipcode,0
35577,35577,Zipcode,0
35004,35004,Zipcode,0
35013,35013,Zipcode,0
35031,35031,Zipcode,0
35049,35049,Zipcode,0
35052,35052,Zipcode,0
35054,35054,Zipcode,0
35079,35079,Zipcode,0
35097,35097,Zipcode,0
35112,35112,Zipcode,0
35120,35120,Zipcode,0
35121,35121,Zipcode,0
35125,35125,Zipcode,0
35128,35128,Zipcode,0
35131,35131,Zipcode,0
35133,35133,Zipcode,0
35135,35135,Zipcode,0
35146,35146,Zipcode,0
35172,35172,Zipcode,0
35182,35182,Zipcode,0
35953,35953,Zipcode,0
35987,35987,Zipcode,0
35901,35901,Zipcode,0
35902,35902,Zipcode,0
35903,35903,Zipcode,0
35904,35904,Zipcode,0
35905,35905,Zipcode,0
35906,35906,Zipcode,0
35907,35907,Zipcode,0
35952,35952,Zipcode,0
35954,35954,Zipcode,0
35956,35956,Zipcode,0
35972,35972,Zipcode,0
35990,35990,Zipcode,0
35014,35014,Zipcode,0
35032,35032,Zipcode,0
35044,35044,Zipcode,0
35082,35082,Zipcode,0
35096,35096,Zipcode,0
35149,35149,Zipcode,0
35150,35150,Zipcode,0
35151,35151,Zipcode,0
35160,35160,Zipcode,0
35161,35161,Zipcode,0
35959,35959,Zipcode,0
35960,35960,Zipcode,0
35973,35973,Zipcode,0
35983,35983,Zipcode,0
36251,36251,Zipcode,0
36255,36255,Zipcode,0
36258,36258,Zipcode,0
36261,36261,Zipcode,0
36262,36262,Zipcode,0
36263,36263,Zipcode,0
36264,36264,Zipcode,0
36266,36266,Zipcode,0
36267,36267,Zipcode,0
36268,36268,Zipcode,0
36269,36269,Zipcode,0
36273,36273,Zipcode,0
36274,36274,Zipcode,0
36275,36275,Zipcode,0
36276,36276,Zipcode,0
36278,36278,Zipcode,0
36280,36280,Zipcode,0
36201,36201,Zipcode,0
36202,36202,Zipcode,0
36203,36203,Zipcode,0
36204,36204,Zipcode,0
36205,36205,Zipcode,0
36206,36206,Zipcode,0
36207,36207,Zipcode,0
36250,36250,Zipcode,0
36253,36253,Zipcode,0
36254,36254,Zipcode,0
36257,36257,Zipcode,0
36260,36260,Zipcode,0
36265,36265,Zipcode,0
36271,36271,Zipcode,0
36272,36272,Zipcode,0
36277,36277,Zipcode,0
36279,36279,Zipcode,0
35007,35007,Zipcode,0
35040,35040,Zipcode,0
35043,35043,Zipcode,0
35051,35051,Zipcode,0
35078,35078,Zipcode,0
35080,35080,Zipcode,0
35114,35114,Zipcode,0
35115,35115,Zipcode,0
35124,35124,Zipcode,0
35137,35137,Zipcode,0
35143,35143,Zipcode,0
35144,35144,Zipcode,0
35147,35147,Zipcode,0
35176,35176,Zipcode,0
35178,35178,Zipcode,0
35185,35185,Zipcode,0
35186,35186,Zipcode,0
35187,35187,Zipcode,0
35236,35236,Zipcode,0
35238,35238,Zipcode,0
35242,35242,Zipcode,0
35244,35244,Zipcode,0
35064,35064,Zipcode,0
35204,35204,Zipcode,0
35208,35208,Zipcode,0
35211,35211,Zipcode,0
35218,35218,Zipcode,0
35221,35221,Zipcode,0
35228,35228,Zipcode,0
35254,35254,Zipcode,0
35201,35201,Zipcode,0
35202,35202,Zipcode,0
35203,35203,Zipcode,0
35205,35205,Zipcode,0
35206,35206,Zipcode,0
35207,35207,Zipcode,0
35212,35212,Zipcode,0
35217,35217,Zipcode,0
35222,35222,Zipcode,0
35232,35232,Zipcode,0
35233,35233,Zipcode,0
35234,35234,Zipcode,0
35237,35237,Zipcode,0
35246,35246,Zipcode,0
35249,35249,Zipcode,0
35255,35255,Zipcode,0
35261,35261,Zipcode,0
35270,35270,Zipcode,0
35282,35282,Zipcode,0
35283,35283,Zipcode,0
35285,35285,Zipcode,0
35287,35287,Zipcode,0
35288,35288,Zipcode,0
35290,35290,Zipcode,0
35291,35291,Zipcode,0
35292,35292,Zipcode,0
35294,35294,Zipcode,0
35295,35295,Zipcode,0
35298,35298,Zipcode,0
35015,35015,Zipcode,0
35094,35094,Zipcode,0
35209,35209,Zipcode,0
35210,35210,Zipcode,0
35213,35213,Zipcode,0
35216,35216,Zipcode,0
35219,35219,Zipcode,0
35223,35223,Zipcode,0
35226,35226,Zipcode,0
35229,35229,Zipcode,0
35243,35243,Zipcode,0
35253,35253,Zipcode,0
35259,35259,Zipcode,0
35260,35260,Zipcode,0
35266,35266,Zipcode,0
35293,35293,Zipcode,0
35296,35296,Zipcode,0
35297,35297,Zipcode,0
35005,35005,Zipcode,0
35036,35036,Zipcode,0
35048,35048,Zipcode,0
35060,35060,Zipcode,0
35062,35062,Zipcode,0
35068,35068,Zipcode,0
35071,35071,Zipcode,0
35073,35073,Zipcode,0
35091,35091,Zipcode,0
35116,35116,Zipcode,0
35117,35117,Zipcode,0
35119,35119,Zipcode,0
35123,35123,Zipcode,0
35126,35126,Zipcode,0
35139,35139,Zipcode,0
35173,35173,Zipcode,0
35180,35180,Zipcode,0
35181,35181,Zipcode,0
35214,35214,Zipcode,0
35215,35215,Zipcode,0
35220,35220,Zipcode,0
35231,35231,Zipcode,0
35235,35235,Zipcode,0
35006,35006,Zipcode,0
35020,35020,Zipcode,0
35021,35021,Zipcode,0
35022,35022,Zipcode,0
35023,35023,Zipcode,0
35061,35061,Zipcode,0
35118,35118,Zipcode,0
35127,35127,Zipcode,0
35142,35142,Zipcode,0
35224,35224,Zipcode,0
35038,35038,Zipcode,0
35063,35063,Zipcode,0
35130,35130,Zipcode,0
35148,35148,Zipcode,0
35501,35501,Zipcode,0
35502,35502,Zipcode,0
35503,35503,Zipcode,0
35504,35504,Zipcode,0
35542,35542,Zipcode,0
35544,35544,Zipcode,0
35545,35545,Zipcode,0
35546,35546,Zipcode,0
35548,35548,Zipcode,0
35549,35549,Zipcode,0
35550,35550,Zipcode,0
35552,35552,Zipcode,0
35554,35554,Zipcode,0
35555,35555,Zipcode,0
35559,35559,Zipcode,0
35560,35560,Zipcode,0
35563,35563,Zipcode,0
35570,35570,Zipcode,0
35573,35573,Zipcode,0
35574,35574,Zipcode,0
35576,35576,Zipcode,0
35578,35578,Zipcode,0
35579,35579,Zipcode,0
35580,35580,Zipcode,0
35584,35584,Zipcode,0
35586,35586,Zipcode,0
35587,35587,Zipcode,0
35592,35592,Zipcode,0
35594,35594,Zipcode,0
35111,35111,Zipcode,0
35440,35440,Zipcode,0
35442,35442,Zipcode,0
35444,35444,Zipcode,0
35446,35446,Zipcode,0
35447,35447,Zipcode,0
35449,35449,Zipcode,0
35452,35452,Zipcode,0
35453,35453,Zipcode,0
35456,35456,Zipcode,0
35457,35457,Zipcode,0
35458,35458,Zipcode,0
35461,35461,Zipcode,0
35463,35463,Zipcode,0
35466,35466,Zipcode,0
35468,35468,Zipcode,0
35471,35471,Zipcode,0
35473,35473,Zipcode,0
35475,35475,Zipcode,0
35478,35478,Zipcode,0
35480,35480,Zipcode,0
35481,35481,Zipcode,0
35482,35482,Zipcode,0
35490,35490,Zipcode,0
35401,35401,Zipcode,0
35402,35402,Zipcode,0
35403,35403,Zipcode,0
35404,35404,Zipcode,0
35405,35405,Zipcode,0
35406,35406,Zipcode,0
35407,35407,Zipcode,0
35476,35476,Zipcode,0
35486,35486,Zipcode,0
35487,35487,Zipcode,0
35034,35034,Zipcode,0
35035,35035,Zipcode,0
35042,35042,Zipcode,0
35074,35074,Zipcode,0
35184,35184,Zipcode,0
35188,35188,Zipcode,0
35441,35441,Zipcode,0
35443,35443,Zipcode,0
35448,35448,Zipcode,0
35459,35459,Zipcode,0
35460,35460,Zipcode,0
35462,35462,Zipcode,0
